208 [0, '75', '75', 1, 3, 0]
209 [-2, '75', '78', 3, 2, -1]
210 [0, '75', '78', 2, 3, 3]
211 [-1, '80', '79', 4, 4, -9]
213 [1, '83', '75', 7, 5, 1]
214 [1, '77', '80', 4, 6, 0]
215 [0, '79', '78', 3, 2, 0]
216 [0, '79', '75', 0, 2, 1]
217 [-1, '78', '75', 3, 4, -1]
218 [-2, '79', '85', 4, 5, -14]
219 [-1, '75', '79', 2, 4, -7]
220 [-1, '78', '83', 2, 6, -15]
221 [-2, '78', '75', 3, 3, -2]
222 [1, '80', '80', 7, 4, -1]
223 [1, '77', '75', 3, 4, -3]
224 [5, '86', '79', 5, 5, 14]
225 [0, '74', '77', 3, 3, -2]
226 [2, '75', '75', 5, 2, 2]
230 [1, '74', '80', 3, 7, -5]
231 [2, '75', '79', 5, 0, 1]
232 [0, '79', '86', 2, 4, -9]
233 [2, '79', '77', 7, 2, 11]
234 [1, '83', '78', 5, 4, 6]
235 [0, '85', '80', 5, 5, 12]
236 [0, '75', '75', 2, 2, 1]
237 [1, '78', '74', 3, 0, 0]
238 [0, '80', '85', 8, 0, 0]
240 [0, '78', '75', 5, 1, 2]
241 [0, '77', '79', 2, 2, -4]
242 [-5, '75', '83', 2, 4, 0]
243 [0, '78', '75', 3, 3, 0]
244 [1, '86', '75', 5, 2, 10]
245 [-1, '75', '77', 3, 2, 0]
246 [1, '80', '75', 5, 0, 1]
247 [5, '77', '78', 1, 4, 5]
248 [0, '79', '79', 2, 0, 1]
249 [-2, '75', '75', 0, 0, -3]
250 [-2, '78', '80', 2, 9, -5]
251 [1, '75', '77', 0, 2, 6]
252 [0, '83', '86', 2, 0, 0]
253 [1, '79', '80', 5, 4, 9]
254 [-3, '75', '85', 4, 7, 0]
255 [3, '74', '75', 3, 0, 3]
256 [0, '75', '78', 3, 5, 0]
257 [3, '86', '75', 6, 2, 4]
258 [2, '78', '77', 5, 0, 1]
259 [2, '79', '75', 5, 1, 4]
260 [2, '80', '79', 0, 2, -5]
261 [-1, '75', '75', 0, 3, 1]
262 [1, '85', '79', 7, 5, 10]
263 [1, '75', '78', 3, 0, 0]
